top_k,weight_cap,vol_target_ann,turb_scale_min,score_val,VAL_CAGR%,VAL_Sharpe,VAL_MaxDD%,VAL_TurnoverAnn,FINALTEST_CAGR%,FINALTEST_Sharpe,FINALTEST_MaxDD%,FINALTEST_TurnoverAnn,FINALTEST_ExcessCAGR_vsQQQ%,FINALTEST_ExcessCAGR_vsEQW%,FINALTEST_ExcessCAGR_vsMOM%
3,0.65,0.34,0.45,0.4157443609104916,38.23594740542158,1.538904799676293,-28.138764871510734,14.71977439620186,33.87083093182086,1.191877226508511,-35.21108920402215,13.218841118414693,14.574793895385563,2.286320531499242,-7.644960987525606
3,0.55,0.34,0.45,0.40290313601952576,37.58658996066393,1.5227945869467865,-28.138770744538878,14.65653048347757,33.932570782713746,1.195088318546164,-35.29516821647558,13.096916418155605,14.636533746278445,2.3480603823921253,-7.583221136632723
3,0.65,0.3,0.45,0.37211906565432407,35.778777327404,1.5091924904761331,-28.077265296424713,14.398349526192153,32.90145874631967,1.2075381787786081,-32.4133424144343,12.713057033453584,13.605421709884368,1.316948345998048,-8.6143331730268
3,0.55,0.3,0.45,0.3610986086935306,35.233606689314165,1.494098372227259,-28.077271174479012,14.34691369703372,32.95832507605445,1.2097948404491612,-32.583153302779536,12.601746361559709,13.662288039619153,1.3738146757328318,-8.557466843292016
3,0.65,0.34,0.3,0.3552470972533234,34.6246585472582,1.4710194073518457,-26.48964036562814,13.78204757317056,34.12193540436097,1.2236621295656582,-33.39746945917774,12.768426166729524,14.82589836792567,2.537425004039351,-7.393856514985497
3,0.65,0.26,0.45,0.34581212738394185,33.645205194311515,1.5126976578907445,-26.436781387902375,13.846521484660936,31.281823609055714,1.2432570034294939,-29.009324156854056,11.68430846229782,11.985786572620416,-0.3026867912659048,-10.233968310290752
3,0.55,0.34,0.3,0.34296446973689393,34.01678120798542,1.4550902892703355,-26.489644329583516,13.717169548447854,34.19328494051881,1.2272478666310733,-33.47640175938707,12.65058042463086,14.89724790408351,2.6087745401971896,-7.322506978827659
3,0.55,0.26,0.45,0.3357349827471966,33.15056878292919,1.4992100247503846,-26.436787400029083,13.789711800340934,31.41132478389399,1.2477316982472193,-29.16551680185352,11.584358083042519,12.11528774745869,-0.17318561642762909,-10.104467135452477
3,0.65,0.3,0.3,0.3119137640138522,32.23167981086992,1.4398386094147564,-26.426729453035957,13.460622703160853,33.15074494605423,1.2430062508081474,-30.52140604477971,12.262642081768416,13.854707909618934,1.5662345457326143,-8.365046973292234
3,0.55,0.3,0.3,0.30142906386765644,31.72484821980175,1.4249625266739447,-26.42673342038373,13.407552762004004,33.217142759779804,1.2455544447111992,-30.688155726311038,12.155410368034962,13.921105723344507,1.632632359458186,-8.298649159566661
3,0.65,0.26,0.3,0.28636576685231907,30.15384531633627,1.4435087710677315,-24.74859851256085,12.908794661629637,31.578727707972256,1.288116555270396,-27.022099957107805,11.23389351061265,12.282690671536955,-0.005782692349365348,-9.937064211374214
3,0.55,0.26,0.3,0.27681166998626106,29.695856619473957,1.4303177423305762,-24.748602570399726,12.850350865311217,31.71646237356198,1.292934775357304,-27.174454025011705,11.138022089517776,12.420425337126684,0.1319519732403629,-9.799329545784484
5,0.55,0.34,0.45,0.22487418809735032,27.47723437024845,1.3994228907097455,-27.362433122733066,14.646680232146046,25.125492819115337,1.0540855880363034,-25.676888424452894,15.040141180815587,5.8294557826800375,-6.459017581206283,-14.748053751699741
5,0.65,0.3,0.45,0.22487418809735032,27.47723437024845,1.3994228907097455,-27.362433122733066,14.646680232146046,25.57508400306716,1.0785070058327322,-24.44870100989174,14.875787342316583,6.279046966631863,-6.009426397254458,-14.298462567747915
5,0.65,0.34,0.45,0.22487418809735032,27.47723437024845,1.3994228907097455,-27.362433122733066,14.646680232146046,25.125492819115337,1.0540855880363034,-25.676888424452915,15.040141180815587,5.8294557826800375,-6.459017581206283,-14.748053751699741
5,0.55,0.3,0.45,0.22487418809735032,27.47723437024845,1.3994228907097455,-27.362433122733066,14.646680232146046,25.57508400306716,1.0785070058327326,-24.448701009891714,14.875787342316578,6.279046966631863,-6.009426397254458,-14.298462567747915
5,0.65,0.26,0.45,0.2150796896560274,27.001658670223772,1.3849952479820167,-27.347909981513418,14.617260757541137,25.376728668717917,1.1089809332383092,-21.156819603912368,14.33107411113241,6.08069163228262,-6.207781731603701,-14.49681790209716
5,0.55,0.26,0.45,0.21507968965602736,27.001658670223772,1.3849952479820165,-27.347909981513418,14.617260757541137,25.376728668717874,1.1089809332383092,-21.156819603912368,14.331074111132402,6.0806916322825755,-6.207781731603745,-14.496817902097202
5,0.65,0.3,0.3,0.1695553926618121,24.48522547776857,1.329503989109357,-26.331396338337388,13.591069114357659,25.750463048948504,1.1110325723368062,-23.643456717236578,14.364416044851314,6.454426012513204,-5.834047351373117,-14.123083521866576
5,0.55,0.3,0.3,0.1695553926618121,24.48522547776857,1.329503989109357,-26.331396338337388,13.591069114357659,25.75046304894848,1.1110325723368062,-23.643456717236543,14.36441604485131,6.454426012513181,-5.8340473513731395,-14.123083521866597
5,0.65,0.34,0.3,0.1695553926618121,24.48522547776857,1.329503989109357,-26.331396338337388,13.591069114357659,25.30024396278563,1.0850825934573536,-24.884734454785086,14.52876988335032,6.004206926350331,-6.28426643753599,-14.573302608029447
5,0.55,0.34,0.3,0.1695553926618121,24.48522547776857,1.329503989109357,-26.331396338337388,13.591069114357659,25.30024396278563,1.0850825934573536,-24.884734454785075,14.52876988335032,6.004206926350331,-6.28426643753599,-14.573302608029447
5,0.55,0.26,0.3,0.15976053896249148,24.020811980395628,1.3143238705435911,-26.316667051820353,13.56164963975275,25.550948883484146,1.1456609546787164,-20.141585566912347,13.819702813667137,6.25491184704885,-6.033561516837471,-14.32259768733093
5,0.65,0.26,0.3,0.15976053896249143,24.020811980395628,1.3143238705435913,-26.316667051820374,13.561649639752751,25.550948883484192,1.145660954678716,-20.14158556691239,13.819702813667142,6.254911847048894,-6.033561516837427,-14.322597687330884
4,0.65,0.34,0.45,0.11876014088057121,29.125212138783475,1.3455575202181518,-35.06388426099058,14.639028013526636,32.37908739330013,1.2017792204512208,-26.465654800734693,14.425158103166785,13.083050356864835,0.7945769929785129,-9.68043643092249
4,0.55,0.34,0.45,0.1157528945558805,28.975061036600213,1.340876613445432,-35.06388426099054,14.623847187662777,32.379952417058846,1.2017691339882313,-26.465654800734704,14.420224966740031,13.083915380623544,0.7954420167372245,-9.679571407163778
4,0.65,0.34,0.3,0.09998114477063111,26.1494489590222,1.28208176562305,-33.425367251451355,13.590435356022262,32.48961643942789,1.229884797653564,-24.260127292620393,13.944791555296963,13.193579402992594,0.9051060391062737,-9.569907384794728
4,0.55,0.34,0.3,0.09710126328969565,26.008400073996917,1.2774498398795546,-33.425367251451355,13.575377097986156,32.492797694002306,1.229949569039083,-24.26012729262036,13.940478172204326,13.196760657567008,0.9082872936806874,-9.566726130220315
4,0.65,0.3,0.45,0.09588357730947297,27.913953474540243,1.3170148769977317,-35.06388426099056,14.576658966162094,32.17108136252249,1.2273905641723026,-24.59311012913188,14.026986112923739,12.875044326087192,0.5865709622008719,-9.88844246170013
4,0.55,0.3,0.45,0.093856257751676,27.814953263151022,1.3136317135431397,-35.06388426099053,14.566998911274595,32.17194499805096,1.2273775350064462,-24.593110129131844,14.022052976496985,12.875907961615663,0.5874345977293416,-9.887578826171662
4,0.65,0.3,0.3,0.07715751098659834,24.966104432339954,1.2521379767077925,-33.42536725145132,13.52806630865772,32.28143673538635,1.258363456722595,-22.331419085839478,13.546619565053915,12.98539969895105,0.6969263350647292,-9.778087088836273
4,0.55,0.3,0.3,0.07525475904784912,24.87497688915137,1.2488644583394932,-33.42536725145134,13.518528821597972,32.28461296223386,1.2584282325013263,-22.331419085839478,13.542306181961282,12.988575925798562,0.7001025619122414,-9.774910861988761
4,0.65,0.26,0.45,0.05892796638980821,25.669675228074084,1.2735434296846917,-34.8820130326169,14.301818479864309,30.83999310219876,1.2498021332372553,-22.66085709308444,13.255699489695338,11.54395606576346,-0.7445172981228598,-11.219530722023862
4,0.55,0.26,0.45,0.0571806157334927,25.586259178339034,1.2704400142362404,-34.88201303261693,14.29127353122212,30.841443719550732,1.2498080326190573,-22.66085709308453,13.250699526019869,11.545406683115434,-0.7430666807708874,-11.218080104671891
4,0.65,0.26,0.3,0.04043958987690978,22.773546841045132,1.2063859804852022,-33.23890691118149,13.253225822359934,30.951051769597914,1.2861904759321423,-20.34121167198275,12.775332941825514,11.655014733162616,-0.6334586307237045,-11.108472054624707
4,0.55,0.26,0.3,0.03881383012227553,22.69754682147469,1.2034052355547524,-33.238906911181395,13.242803441545497,30.954792247891326,1.2862811598567159,-20.341211671982784,12.770952731484163,11.658755211456029,-0.6297181524302919,-11.104731576331295
